CaseID,ResponseType,TargetDensity,ActualDensity,DensityError,PreserveAnchors,ActualAnchorPreservation,AnchorMismatch,ComplementarityBias,ActualGapFill,GapMismatch,StructureType,EnergyProfile,VariantKind
Variant_H28_AnchorLed_Increasing,Intensify,0.424167,0.364583,0.0595837,False,1,1,0.5,0.457143,0.042857,AnchorLed,Increasing,Variant
Variant_H28_BackLoaded_AccentedEnding,Intensify,0.424167,0.427083,0.00291633,False,0.8,0.8,0.5,0.682927,0.182927,BackLoaded,AccentedEnding,Variant
Variant_H28_BackLoaded_Flat,Fill,0.491667,0.489583,0.00208367,False,1,1,0.65,0.914894,0.264894,BackLoaded,Flat,Variant
Variant_H28_BackLoaded_Increasing,Contrast,0.304167,0.302083,0.00208367,False,0.333333,0.333333,0.7,0.931035,0.231035,BackLoaded,Increasing,Variant
Variant_H28_Clustered_AccentedEnding,Fill,0.491667,0.395833,0.0958337,False,1,1,0.7,0.710526,0.010526,Clustered,AccentedEnding,Variant
Variant_H28_Clustered_Flat,Intensify,0.436667,0.40625,0.030417,False,0,0,0.55,0.589744,0.039744,Clustered,Flat,Variant
Variant_H28_Clustered_Increasing,Fill,0.491667,0.395833,0.0958337,False,0,0,0.7,0.710526,0.010526,Clustered,Increasing,Variant
Variant_H28_Even_AccentedEnding,Intensify,0.424167,0.427083,0.00291633,False,1,1,0.5,0.731707,0.231707,Even,AccentedEnding,Variant
Variant_H28_Even_Flat,Fill,0.491667,0.489583,0.00208367,False,1,1,0.65,0.93617,0.28617,Even,Flat,Variant
Variant_H28_Even_Increasing,Mirror,0.304167,0.302083,0.00208367,True,1,0,0.225,0.482759,0.257759,Even,Increasing,Variant
Variant_H28_FrontLoaded_AccentedEnding,Intensify,0.424167,0.427083,0.00291633,False,1,1,0.55,0.707317,0.157317,FrontLoaded,AccentedEnding,Variant
Variant_H28_FrontLoaded_Flat,Intensify,0.436667,0.4375,0.000833,False,1,1,0.5,0.714286,0.214286,FrontLoaded,Flat,Variant
Variant_H28_FrontLoaded_Increasing,Mirror,0.304167,0.302083,0.00208367,True,1,0,0.225,0.310345,0.085345,FrontLoaded,Increasing,Variant
Variant_H32_AnchorLed_AccentedEnding,Fill,0.533333,0.302083,0.23125,False,1,1,0.65,0.586207,0.063793,AnchorLed,AccentedEnding,Variant
Variant_H32_AnchorLed_Flat,Intensify,0.478333,0.40625,0.072083,False,1,1,0.5,0.461539,0.038461,AnchorLed,Flat,Variant
